Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2006-06-20,BHARTIARTL,EQ,362.15,355.0,357.9,345.05,350.0,352.2,351.88,669171,23546922025000.0,,301481.0,0.4505
2006-06-21,BHARTIARTL,EQ,352.2,348.0,370.95,341.0,370.95,368.75,357.08,758384,27080310715000.0,,119367.0,0.1574
2000-01-03,BPCL,EQ,381.2,405.0,407.0,393.05,397.75,399.25,399.32,8720,348202920000.0,,,
2000-01-04,BPCL,EQ,399.25,397.75,397.75,367.4,377.45,370.5,375.71,22820,857369935000.0,,,
2000-01-05,BPCL,EQ,370.5,350.0,385.0,350.0,360.1,359.95,359.96,152538,5490785425000.0,,,
2000-01-03,BRITANNIA,EQ,703.25,705.0,759.5,705.0,758.0,756.9,741.01,7512,556648765000.0,,,
2000-01-04,BRITANNIA,EQ,756.9,710.0,770.0,710.0,740.0,754.55,742.52,8135,604039070000.0,,,
2000-01-05,BRITANNIA,EQ,754.55,755.0,759.0,705.0,740.0,735.3,739.92,6095,450978430000.0,,,
2000-01-03,CIPLA,EQ,1349.4,1410.0,1457.35,1380.05,1457.35,1457.35,1441.36,21060,3035495710000.0,,,
2000-01-04,CIPLA,EQ,1457.35,1537.0,1537.0,1430.0,1466.05,1465.25,1460.43,30215,4412697995000.0,,,
2000-01-05,CIPLA,EQ,1465.25,1474.0,1474.0,1365.0,1441.0,1435.05,1428.11,33799,4826872355000.0,,,
2010-11-04,COALINDIA,EQ,245.0,291.0,344.9,291.0,342.0,342.55,327.29,479716245,1.5700395821970002e+16,,187584905.0,0.391
2010-11-05,COALINDIA,EQ,342.55,343.0,356.5,343.0,348.3,349.85,349.78,31927173,1116747196655000.0,,10894509.0,0.3412
2010-11-08,COALINDIA,EQ,349.85,351.8,355.9,329.5,331.4,330.75,335.19,46932779,1573117519380000.0,,16651623.0,0.3547999999999999
